studio_id,game_id,game_name,game_type,session_id,player_id,session_start,session_end,duration_minutes,event_type,event_timestamp,device_type,region,client_version,level,score,kills,deaths,items_collected,match_outcome,retention_day1,retention_day7,monetized,in_game_currency_earned,in_game_currency_spent
Studio_5,SPG_2,SinglePlayerGame_2,singleplayer,7f281ec4-2043-4add-9d1d-1d002b1a8aef,player_23,2025-04-18T06:01:00.186886,2025-04-18T07:26:00.186886,85,level_complete,2025-04-18T06:52:00.186886,Console,AF,1.0,34.0,6290.0,,,29.0,,1,0,0,3493,1314
Studio_4,SPG_2,SinglePlayerGame_2,singleplayer,ca925eb2-7cd8-4991-97ed-f2b889936169,player_76,2025-04-13T22:01:00.186990,2025-04-13T23:19:00.186990,78,purchase,2025-04-13T22:57:00.186990,Mobile,EU,1.0,14.0,7480.0,,,31.0,,0,1,0,2866,148
Studio_2,SPG_4,SinglePlayerGame_4,singleplayer,b17f86eb-e7b5-4ef8-9099-17ae6731ee8e,player_79,2025-04-20T18:01:00.187054,2025-04-20T18:57:00.187054,56,login,2025-04-20T18:40:00.187054,Console,NA,1.1,19.0,3558.0,,,35.0,,0,1,1,670,4200
Studio_2,MPG_5,MultiPlayerGame_5,multiplayer,5ff3fc61-4c55-4c51-8993-6753d1dbe2d3,player_3,2025-04-01T00:01:00.187097,2025-04-01T00:22:00.187097,21,level_complete,2025-04-01T00:22:00.187097,Console,SA,1.1,,,9.0,19.0,,draw,0,0,1,978,3083
Studio_3,SPG_3,SinglePlayerGame_3,singleplayer,4768f321-8fe9-45bd-98c7-c0f1c1203476,player_44,2025-04-06T20:01:00.187291,2025-04-06T20:15:00.187291,14,login,2025-04-06T20:02:00.187291,PC,AS,1.2,4.0,9128.0,,,50.0,,1,0,1,3065,794
Studio_2,SPG_3,SinglePlayerGame_3,singleplayer,6a1c48b2-e050-43ac-af16-73820ca51ed5,player_57,2025-04-08T09:01:00.187374,2025-04-08T10:38:00.187374,97,purchase,2025-04-08T10:13:00.187374,PC,EU,1.2,20.0,7342.0,,,47.0,,1,0,1,3276,274
Studio_3,MPG_3,MultiPlayerGame_3,multiplayer,64a0c1d2-1385-4692-9372-488e8925a268,player_49,2025-04-08T23:01:00.187421,2025-04-09T00:05:00.187421,64,level_start,2025-04-08T23:53:00.187421,Console,AS,1.0,,,26.0,28.0,,loss,1,1,0,2210,2827
Studio_3,MPG_2,MultiPlayerGame_2,multiplayer,c455dfff-7a28-4fcf-b86c-ebc9cc1d3884,player_94,2025-04-28T13:01:00.187490,2025-04-28T13:27:00.187490,26,login,2025-04-28T13:06:00.187490,PC,AS,1.1,,,9.0,7.0,,loss,1,1,1,2988,905
Studio_3,SPG_3,SinglePlayerGame_3,singleplayer,8c758f2f-ef26-4161-9d72-c16a67d5220c,player_19,2025-04-28T23:01:00.187547,2025-04-28T23:38:00.187547,37,match_end,2025-04-28T23:05:00.187547,Console,NA,1.1,30.0,5434.0,,,30.0,,0,1,1,2222,1514
Studio_4,SPG_4,SinglePlayerGame_4,singleplayer,6e4c3cb6-7cac-4f8b-9766-5583dd5dc835,player_80,2025-04-09T18:01:00.187605,2025-04-09T18:17:00.187605,16,login,2025-04-09T18:17:00.187605,PC,AF,1.1,8.0,5025.0,,,25.0,,0,0,1,1182,890
Studio_2,MPG_5,MultiPlayerGame_5,multiplayer,86e72b7a-40d9-4b89-a8bb-be8f319cd93d,player_36,2025-04-02T22:01:00.187656,2025-04-02T23:44:00.187656,103,logout,2025-04-02T23:41:00.187656,Console,AF,1.2,,,14.0,5.0,,draw,1,0,0,282,3998
Studio_1,MPG_3,MultiPlayerGame_3,multiplayer,9771294f-1595-4a8d-a757-4a404132d46e,player_35,2025-04-08T10:01:00.187704,2025-04-08T11:18:00.187704,77,match_end,2025-04-08T10:47:00.187704,Console,AF,1.0,,,20.0,23.0,,draw,0,0,0,3529,972
Studio_5,SPG_3,SinglePlayerGame_3,singleplayer,4753dc23-99be-4ae7-9ab6-c2a2303a0726,player_84,2025-04-26T13:01:00.187775,2025-04-26T13:10:00.187775,9,logout,2025-04-26T13:04:00.187775,PC,AF,1.0,2.0,4745.0,,,37.0,,0,1,0,1022,2781
Studio_4,MPG_2,MultiPlayerGame_2,multiplayer,459f15d7-38b4-442a-ac04-bb03a7dfceaf,player_83,2025-04-05T05:01:00.187818,2025-04-05T05:42:00.187818,41,level_start,2025-04-05T05:31:00.187818,Mobile,NA,1.0,,,11.0,11.0,,draw,1,1,1,4385,2453
Studio_3,MPG_4,MultiPlayerGame_4,multiplayer,9d593eb2-a9c1-4595-91df-e0d3c22e69f3,player_75,2025-04-22T11:01:00.187855,2025-04-22T12:50:00.187855,109,purchase,2025-04-22T12:29:00.187855,Console,AF,1.1,,,8.0,0.0,,draw,1,0,1,3587,4212
Studio_3,MPG_4,MultiPlayerGame_4,multiplayer,be388e44-1a50-4842-9f57-964d437e952a,player_40,2025-04-28T20:01:00.187904,2025-04-28T21:00:00.187904,59,match_end,2025-04-28T20:23:00.187904,PC,EU,1.2,,,9.0,8.0,,loss,0,0,0,386,4966
Studio_2,SPG_4,SinglePlayerGame_4,singleplayer,a9133fd1-b049-460d-8216-9deb96c31dd4,player_66,2025-04-03T16:01:00.187959,2025-04-03T17:06:00.187959,65,logout,2025-04-03T16:37:00.187959,Console,EU,1.0,25.0,6172.0,,,24.0,,1,0,0,1686,4380
Studio_2,SPG_5,SinglePlayerGame_5,singleplayer,133bd2d6-54fb-44a8-9b51-0bfb90695393,player_56,2025-04-08T18:01:00.187998,2025-04-08T19:50:00.187998,109,purchase,2025-04-08T18:14:00.187998,PC,AF,1.0,48.0,6883.0,,,38.0,,1,1,0,938,4018
Studio_5,SPG_3,SinglePlayerGame_3,singleplayer,5cf456e1-6889-429d-83e5-56221cd4d9db,player_85,2025-04-30T04:01:00.188044,2025-04-30T05:23:00.188044,82,match_end,2025-04-30T04:35:00.188044,PC,EU,1.1,39.0,988.0,,,32.0,,0,1,0,2729,4773
Studio_3,SPG_4,SinglePlayerGame_4,singleplayer,3bfc520a-d39e-49fe-a8dd-a65f02b0fefc,player_92,2025-04-19T15:01:00.188105,2025-04-19T15:42:00.188105,41,match_end,2025-04-19T15:39:00.188105,Mobile,EU,1.2,29.0,3600.0,,,44.0,,1,1,1,4916,3821
Studio_5,MPG_2,MultiPlayerGame_2,multiplayer,2a8fe547-cfae-45c3-be47-a96a8ea33f3e,player_58,2025-04-01T08:01:00.188142,2025-04-01T09:52:00.188142,111,level_start,2025-04-01T09:06:00.188142,Console,NA,1.1,,,7.0,5.0,,loss,0,0,0,1991,372
Studio_2,MPG_2,MultiPlayerGame_2,multiplayer,59768273-239e-4c16-8d6f-dccc2065df59,player_67,2025-04-02T14:01:00.188178,2025-04-02T16:00:00.188178,119,match_start,2025-04-02T15:26:00.188178,PC,AS,1.0,,,26.0,1.0,,draw,1,0,1,2795,68
Studio_2,SPG_5,SinglePlayerGame_5,singleplayer,dab78e75-1ff3-48fc-88e4-fba789eb7ec6,player_71,2025-04-13T16:01:00.188222,2025-04-13T16:27:00.188222,26,match_start,2025-04-13T16:01:00.188222,Console,SA,1.0,49.0,9457.0,,,29.0,,1,1,0,2458,2752
Studio_4,MPG_4,MultiPlayerGame_4,multiplayer,9b23d1f3-c06c-43ba-8bba-7c170082572f,player_40,2025-04-21T16:01:00.188264,2025-04-21T17:16:00.188264,75,purchase,2025-04-21T17:14:00.188264,PC,AS,1.2,,,9.0,9.0,,draw,1,0,1,1903,2068
Studio_3,SPG_1,SinglePlayerGame_1,singleplayer,4c470d6c-9830-4916-a429-5335eedbb399,player_69,2025-04-30T07:01:00.188300,2025-04-30T08:49:00.188300,108,match_end,2025-04-30T08:38:00.188300,Mobile,EU,1.2,35.0,4656.0,,,40.0,,0,1,1,2206,1634
Studio_5,MPG_5,MultiPlayerGame_5,multiplayer,51385307-6564-497a-b8ad-77b5ee043366,player_82,2025-04-21T14:01:00.188341,2025-04-21T15:04:00.188341,63,match_start,2025-04-21T14:42:00.188341,Console,SA,1.2,,,8.0,26.0,,loss,0,1,1,1240,2969
Studio_3,SPG_2,SinglePlayerGame_2,singleplayer,bb9cb0eb-e1db-4cc5-82ea-d412b47fc63a,player_16,2025-04-15T06:01:00.188388,2025-04-15T06:07:00.188388,6,purchase,2025-04-15T06:01:00.188388,PC,EU,1.1,49.0,6986.0,,,21.0,,0,0,1,814,1510
Studio_1,MPG_1,MultiPlayerGame_1,multiplayer,d2921502-2294-4241-9f5b-cacf0e778341,player_81,2025-04-24T00:01:00.188425,2025-04-24T00:48:00.188425,47,level_start,2025-04-24T00:47:00.188425,PC,SA,1.2,,,21.0,28.0,,win,0,0,0,942,2800
Studio_3,MPG_3,MultiPlayerGame_3,multiplayer,c57e0454-fdf7-410c-827e-496f057354f4,player_18,2025-04-03T14:01:00.188464,2025-04-03T14:12:00.188464,11,level_complete,2025-04-03T14:11:00.188464,Console,EU,1.0,,,11.0,14.0,,draw,0,0,0,249,3090
Studio_2,SPG_5,SinglePlayerGame_5,singleplayer,1aaf1d08-89c9-4650-bfd5-68a853181fb0,player_25,2025-04-15T08:01:00.188502,2025-04-15T09:06:00.188502,65,logout,2025-04-15T08:41:00.188502,PC,NA,1.0,41.0,3801.0,,,48.0,,1,0,0,3696,2400
Studio_2,SPG_4,SinglePlayerGame_4,singleplayer,1cbeb78c-1d8c-4c4a-99f7-351e97e9a9d6,player_37,2025-04-02T06:01:00.188556,2025-04-02T06:22:00.188556,21,level_start,2025-04-02T06:10:00.188556,Console,SA,1.1,23.0,5976.0,,,0.0,,1,1,0,2594,4389
Studio_4,MPG_4,MultiPlayerGame_4,multiplayer,0f002f22-f6f5-4513-ba95-1c867bdaa9c6,player_78,2025-04-10T12:01:00.188609,2025-04-10T13:51:00.188609,110,level_complete,2025-04-10T12:45:00.188609,Console,SA,1.0,,,0.0,0.0,,loss,1,0,0,3429,3056
Studio_4,MPG_5,MultiPlayerGame_5,multiplayer,72cb044d-0493-4ea6-be36-206aa2d54439,player_99,2025-04-23T15:01:00.188659,2025-04-23T16:15:00.188659,74,purchase,2025-04-23T15:16:00.188659,Console,SA,1.2,,,11.0,18.0,,draw,0,0,0,4176,2836
Studio_2,MPG_3,MultiPlayerGame_3,multiplayer,8a074afb-6e0f-4d44-8285-4d6eb68f90eb,player_64,2025-04-02T04:01:00.188709,2025-04-02T04:19:00.188709,18,purchase,2025-04-02T04:11:00.188709,Console,SA,1.0,,,19.0,19.0,,win,1,1,0,3197,1062
Studio_5,SPG_1,SinglePlayerGame_1,singleplayer,fb09a2f6-33b5-4f0f-a6df-e33218a8752d,player_30,2025-04-06T17:01:00.188758,2025-04-06T17:43:00.188758,42,purchase,2025-04-06T17:08:00.188758,PC,AS,1.0,6.0,3756.0,,,0.0,,1,0,0,962,1649
Studio_4,MPG_5,MultiPlayerGame_5,multiplayer,ecffcb76-4f46-4339-a57b-aa444199eeb8,player_31,2025-04-12T21:01:00.188905,2025-04-12T21:25:00.188905,24,purchase,2025-04-12T21:20:00.188905,Console,AF,1.0,,,9.0,18.0,,win,0,1,1,4212,2058
Studio_4,SPG_4,SinglePlayerGame_4,singleplayer,79e94904-4995-4e3a-8a07-d82bb3df72d9,player_35,2025-04-18T15:01:00.189016,2025-04-18T16:57:00.189016,116,match_start,2025-04-18T15:05:00.189016,PC,NA,1.0,18.0,6594.0,,,4.0,,0,0,1,4743,3671
Studio_1,SPG_3,SinglePlayerGame_3,singleplayer,4290552a-3809-4f69-989d-926f91a47bb8,player_76,2025-04-30T13:01:00.189105,2025-04-30T14:27:00.189105,86,match_end,2025-04-30T13:27:00.189105,Mobile,EU,1.2,28.0,8968.0,,,41.0,,0,0,1,252,3209
